City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
port alfred,95,ZA,1584232302,86,-33.59,26.89,68.0,5.99
wellington,0,NZ,1584232305,72,-41.29,174.78,71.01,9.17
rikitea,0,PF,1584232308,78,-23.12,-134.97,78.26,12.12
yaring,40,TH,1584232311,100,6.87,101.37,77.0,4.7
cape town,40,ZA,1584232021,77,-33.93,18.42,66.0,17.22
hobart,75,AU,1584232202,71,-42.88,147.33,60.01,11.41
ushuaia,75,AR,1584232321,54,-54.8,-68.3,55.4,6.93
ngozi,97,BI,1584232327,95,-2.91,29.83,59.72,1.32
mahebourg,40,MU,1584232330,88,-20.41,57.7,77.0,2.24
hermanus,63,ZA,1584232333,94,-34.42,19.23,64.0,1.99
poum,95,NC,1584232336,79,-20.23,164.02,84.31,49.59
inhambane,0,MZ,1584232343,82,-23.86,35.38,77.63,6.55
chokurdakh,7,RU,1584232346,91,70.63,147.92,-20.63,2.89
hilo,90,US,1584232219,74,19.73,-155.09,78.8,10.29
olafsvik,32,IS,1584232352,52,64.89,-23.71,24.33,2.42
east london,56,ZA,1584232355,78,-33.02,27.91,72.68,9.78
bredasdorp,83,ZA,1584232358,88,-34.53,20.04,66.2,6.93
belyy yar,100,RU,1584232361,69,53.6,91.39,35.6,8.95
kapaa,1,US,1584232142,57,22.08,-159.32,80.6,16.11
longyearbyen,90,SJ,1584232368,70,78.22,15.64,-0.4,8.05
purpe,100,RU,1584232371,93,64.48,76.69,32.0,19.75
leh,58,IN,1584232374,61,34.17,77.58,8.78,1.79
tual,100,ID,1584232377,77,-5.67,132.75,81.54,9.1
vila franca do campo,20,PT,1584232380,82,37.72,-25.43,55.4,6.93
esperance,40,AU,1584232383,64,-33.87,121.9,68.0,21.92
bluff,100,NZ,1584232386,71,-46.6,168.33,64.0,4.0
singida,100,TZ,1584232389,96,-4.82,34.75,62.91,0.4
busselton,80,AU,1584232392,98,-33.65,115.33,73.99,13.04
carutapera,84,BR,1584232399,83,-1.2,-46.02,82.09,15.59
hambantota,20,LK,1584232384,100,6.12,81.12,73.4,5.82
acarau,99,BR,1584232405,94,-2.89,-40.12,75.51,3.15
wyndham,100,NZ,1584232408,71,-46.19,168.86,64.0,4.0
manuk mangkaw,54,PH,1584232411,71,4.8,119.85,81.19,7.99
husavik,1,IS,1584232414,84,66.04,-17.34,5.0,3.36
luxor,0,EG,1584232417,63,25.7,32.64,62.6,6.71
saint-philippe,59,RE,1584232421,78,-21.36,55.77,77.0,4.7
castro,0,BR,1584232424,67,-24.79,-50.01,64.4,2.06
coihaique,75,CL,1584232250,62,-45.58,-72.07,55.4,6.64
upernavik,98,GL,1584232368,98,72.79,-56.15,-14.1,3.6
atuona,21,PF,1584232375,72,-9.8,-139.03,82.04,10.89
kizu,40,JP,1584232436,57,34.69,135.8,48.2,5.82
tuatapere,100,NZ,1584232377,71,-46.13,167.68,64.0,4.0
natal,20,BR,1584232356,88,-5.79,-35.21,78.8,5.82
tabuk,53,PH,1584232445,85,17.42,121.44,74.1,11.68
talnakh,75,RU,1584232448,92,69.49,88.4,23.0,11.18
stornoway,41,GB,1584232452,87,58.21,-6.39,43.0,20.8
pacific grove,40,US,1584232455,62,36.62,-121.92,59.0,13.87
ulyanovka,76,RU,1584232458,49,59.7,30.79,23.0,15.66
lebu,0,CL,1584232461,71,-37.62,-73.65,56.14,11.27
praia,18,CV,1584232243,50,14.92,-23.51,75.2,12.75
la roda,64,ES,1584232467,93,39.22,-2.15,54.0,4.7
taltal,1,CL,1584232470,92,-25.4,-70.48,60.08,1.19
kamaishi,40,JP,1584232473,55,39.27,141.88,39.2,6.93
rio gallegos,100,AR,1584232476,51,-51.62,-69.22,59.0,11.41
carnarvon,75,AU,1584232480,74,-24.87,113.63,78.8,8.05
jamestown,90,US,1584232389,86,42.1,-79.24,36.0,6.93
kodiak,1,US,1584232400,55,57.79,-152.41,39.2,3.78
kampot,20,KH,1584232495,69,10.62,104.18,82.4,8.05
lumberton,90,US,1584232498,48,34.62,-79.01,66.2,4.74
pechora,100,RU,1584232505,94,65.15,57.22,10.04,8.57
vastse-kuuste,10,EE,1584232511,68,58.17,26.93,26.01,8.05
bambous virieux,40,MU,1584232517,88,-20.34,57.76,77.0,2.24
namibe,99,AO,1584232375,76,-15.2,12.15,76.66,5.37
puerto ayora,20,EC,1584232491,74,-0.74,-90.35,82.4,9.17
pulilan,40,PH,1584232526,69,14.89,120.86,82.99,4.7
